keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,new,change,changetype_1,changetype_2,cluster
Feb-63,365-1963,2218,2218,2,USA,365,RUS,1963,2,4,1963,2,4,1963,5,3,0,19,4,0,1,2,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,75,65,0,0,0,0,cluster2
365-1963,Feb-63,2218,2218,365,RUS,2,USA,1963,2,4,1963,2,4,1963,5,3,0,19,4,0,1,2,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,75,0,0,0,0,cluster3
260-1963,365-1963,2218,2218,260,GFR,365,RUS,1963,2,4,1963,2,4,1963,5,3,0,19,4,0,1,2,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,75,65,0,0,0,0,cluster2
365-1963,260-1963,2218,2218,365,RUS,260,GFR,1963,2,4,1963,2,4,1963,5,3,0,19,4,0,1,2,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,75,0,0,0,0,cluster3
Feb-62,365-1962,2219,2219,2,USA,365,RUS,1962,14,2,1962,14,8,1962,5,3,0,9,3,0,2,2,0,0,0,0,7,3,0,1,1,1,0,9,3,0,4,2,3,1,0,1,182,182,7,7,7,49,49,49,0,0,0,0,cluster2
365-1962,Feb-62,2219,2219,365,RUS,2,USA,1962,14,2,1962,14,8,1962,5,3,0,9,3,0,2,2,1,1,1,0,9,3,0,0,0,0,0,7,3,0,2,4,1,3,0,1,182,182,7,7,7,49,49,49,0,0,0,0,cluster3
260-1961,265-1961,2219,2219,260,GFR,265,GDR,1961,19,11,1961,14,8,1962,0,0,0,18,4,1,2,2,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,43,43,17,17,17,75,75,75,0,0,0,0,cluster2
260-1962,265-1962,2219,2219,260,GFR,265,GDR,1962,19,11,1961,14,8,1962,5,3,1,18,4,1,2,2,0,0,0,1,18,4,1,1,1,1,1,18,4,1,3,1,3,1,0,2,227,270,17,17,17,75,75,75,0,0,0,0,cluster2
265-1961,260-1961,2219,2219,265,GDR,260,GFR,1961,19,11,1961,14,8,1962,0,0,0,18,4,1,2,2,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,43,43,17,17,17,75,75,75,0,0,0,0,cluster3
265-1962,260-1962,2219,2219,265,GDR,260,GFR,1962,19,11,1961,14,8,1962,5,3,1,18,4,1,2,2,1,1,1,1,18,4,1,0,0,0,1,18,4,1,1,3,1,3,0,2,227,270,17,17,17,75,75,75,0,0,0,0,cluster3
Feb-64,365-1964,2220,2220,2,USA,365,RUS,1964,28,1,1964,27,3,1964,7,3,1,19,4,0,1,1,1,0,0,1,14,3,1,0,0,0,0,19,4,1,1,3,1,3,0,1,60,60,16,12,16,65,65,65,0,0,0,0,cluster3
365-1964,Feb-64,2220,2220,365,RUS,2,USA,1964,28,1,1964,27,3,1964,7,3,1,19,4,0,1,1,0,0,0,0,19,4,1,1,0,0,1,14,3,1,3,1,3,1,0,1,60,60,16,16,12,65,65,65,0,0,0,0,cluster2
Feb-70,365-1970,2221,2221,2,USA,365,RUS,1970,21,10,1970,10,11,1970,7,3,0,17,4,0,1,1,1,0,0,0,14,3,1,0,0,0,0,17,4,1,1,3,1,3,0,1,21,21,15,12,15,81,65,81,0,0,0,0,cluster3
365-1970,Feb-70,2221,2221,365,RUS,2,USA,1970,21,10,1970,10,11,1970,7,3,0,17,4,0,1,1,0,0,0,0,17,4,1,1,0,0,0,14,3,1,3,1,3,1,0,1,21,21,15,15,12,81,81,65,0,0,0,0,cluster2
Feb-77,365-1977,2222,2222,2,USA,365,RUS,1977,9,4,1977,10,4,1977,7,3,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,15,15,0,81,81,30,0,0,0,0,cluster3
365-1977,Feb-77,2222,2222,365,RUS,2,USA,1977,9,4,1977,10,4,1977,7,3,0,17,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,17,4,1,3,1,3,1,0,1,2,2,15,0,15,81,30,81,0,0,0,0,cluster2
Feb-78,365-1978,2223,2223,2,USA,365,RUS,1978,19,11,1978,2,1,1979,0,0,0,8,3,0,1,1,0,0,0,0,8,3,1,1,1,2,0,2,2,1,3,1,3,1,0,1,43,43,7,7,1,49,49,30,0,0,0,0,cluster2
Feb-79,365-1979,2223,2223,2,USA,365,RUS,1979,19,11,1978,2,1,1979,3,3,0,8,3,0,1,1,0,0,0,0,8,3,1,1,1,2,0,2,2,1,3,1,3,1,0,2,3,46,7,7,1,49,49,30,0,0,0,0,cluster2
365-1978,Feb-78,2223,2223,365,RUS,2,USA,1978,19,11,1978,2,1,1979,0,0,0,8,3,0,1,1,1,1,2,0,2,2,1,0,0,0,0,8,3,1,1,3,1,3,0,1,43,43,7,1,7,49,30,49,0,0,0,0,cluster3
365-1979,Feb-79,2223,2223,365,RUS,2,USA,1979,19,11,1978,2,1,1979,4,3,0,8,3,0,1,1,1,1,2,0,2,2,1,0,0,0,0,8,3,1,1,3,1,3,0,2,3,46,7,1,7,49,30,49,0,0,0,0,cluster3
Feb-79,365-1979,2224,2224,2,USA,365,RUS,1979,9,8,1979,10,8,1979,7,1,0,17,4,0,1,1,0,0,0,0,8,3,1,1,0,0,0,17,4,1,3,1,3,1,0,1,2,2,15,7,15,81,49,81,0,0,0,0,cluster2
365-1979,Feb-79,2224,2224,365,RUS,2,USA,1979,9,8,1979,10,8,1979,7,1,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,8,3,1,1,3,1,3,0,1,2,2,15,15,7,81,81,49,0,0,0,0,cluster3
Feb-79,40-1979,2225,2225,2,USA,40,CUB,1979,4,9,1979,20,11,1979,5,3,0,7,3,0,2,1,0,0,0,0,7,3,1,1,0,0,0,0,1,0,3,2,1,3,0,1,78,78,7,7,0,49,49,30,0,0,0,0,cluster3
40-1979,Feb-79,2225,2225,40,CUB,2,USA,1979,4,9,1979,20,11,1979,5,3,0,7,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0,7,3,1,2,3,3,1,0,1,78,78,7,0,7,49,30,49,0,0,0,0,cluster2
Feb-79,365-1979,2225,2225,2,USA,365,RUS,1979,31,8,1979,20,11,1979,5,3,0,7,3,0,2,1,0,0,0,0,7,3,1,1,1,2,0,7,3,1,3,1,3,1,0,1,82,82,7,7,7,49,49,49,0,0,0,0,cluster2
365-1979,Feb-79,2225,2225,365,RUS,2,USA,1979,31,8,1979,20,11,1979,5,3,0,7,3,0,2,1,1,1,2,0,7,3,1,0,0,0,0,7,3,1,1,3,1,3,0,1,82,82,7,7,7,49,49,49,0,0,0,0,cluster3
Feb-80,365-1980,2226,2226,2,USA,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,75,0,0,0,0,cluster3
365-1980,Feb-80,2226,2226,365,RUS,2,USA,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,75,49,0,0,0,0,cluster2
20-1980,365-1980,2226,2226,20,CAN,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,75,0,0,0,0,cluster3
365-1980,20-1980,2226,2226,365,RUS,20,CAN,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,75,49,0,0,0,0,cluster2
200-1980,365-1980,2226,2226,200,UKG,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,84,0,0,0,0,cluster3
365-1980,200-1980,2226,2226,365,RUS,200,UKG,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,84,49,0,0,0,0,cluster2
210-1980,365-1980,2226,2226,210,NTH,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,49,0,0,0,0,cluster3
365-1980,210-1980,2226,2226,365,RUS,210,NTH,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,49,49,0,0,0,0,cluster2
260-1980,365-1980,2226,2226,260,GFR,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,75,0,0,0,0,cluster3
365-1980,260-1980,2226,2226,365,RUS,260,GFR,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,75,49,0,0,0,0,cluster2
325-1980,365-1980,2226,2226,325,ITA,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,75,0,0,0,0,cluster3
365-1980,325-1980,2226,2226,365,RUS,325,ITA,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,75,49,0,0,0,0,cluster2
365-1980,385-1980,2226,2226,365,RUS,385,NOR,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,0,1,2,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,30,49,0,0,0,0,cluster2
385-1980,365-1980,2226,2226,385,NOR,365,RUS,1980,13,3,1980,19,3,1980,5,3,0,8,3,0,7,1,1,0,0,0,8,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,30,0,0,0,0,cluster3
