keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,new,change,changetype_1,changetype_2,cluster
Feb-02,200-1902,2,2,2,USA,200,UKG,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,184,184,7,7,0,49,49,0,0,0,0,0,cluster3
Feb-03,200-1903,2,2,2,USA,200,UKG,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,2,25,209,7,7,0,49,49,0,0,0,0,0,cluster3
200-1902,Feb-02,2,2,200,UKG,2,USA,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,184,184,7,0,7,49,0,49,0,0,0,0,cluster2
200-1903,Feb-03,2,2,200,UKG,2,USA,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,2,25,209,7,0,7,49,0,49,0,0,0,0,cluster2
300-1913,345-1913,3,3,300,AUH,345,YUG,1913,2,5,1913,25,10,1913,4,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,177,177,8,8,0,20,20,0,0,0,0,0,cluster3
345-1913,300-1913,3,3,345,YUG,300,AUH,1913,2,5,1913,25,10,1913,3,3,0,10,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,10,3,1,3,1,3,1,0,1,177,177,8,0,8,20,0,20,0,0,0,0,cluster2
200-1946,339-1946,4,4,200,UKG,339,ALB,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,0,0,0,2,8,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,183,183,16,7,16,65,49,65,0,0,0,0,cluster2
339-1946,200-1946,4,4,339,ALB,200,UKG,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,8,3,1,1,3,1,3,0,1,183,183,16,16,7,65,65,49,0,0,0,0,cluster3
200-1951,651-1951,7,7,200,UKG,651,EGY,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,2,0,18,4,1,1,3,1,3,0,1,80,80,17,17,17,75,75,75,0,0,0,0,cluster3
200-1952,651-1952,7,7,200,UKG,651,EGY,1952,13,10,1951,26,1,1952,1,3,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,2,2,18,4,1,1,3,1,3,0,2,27,107,17,17,17,75,75,75,0,0,0,0,cluster3
651-1951,200-1951,7,7,651,EGY,200,UKG,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,0,1,2,0,18,4,1,1,0,0,0,18,4,1,3,1,3,1,0,1,80,80,17,17,17,75,75,75,0,0,0,0,cluster2
651-1952,200-1952,7,7,651,EGY,200,UKG,1952,13,10,1951,26,1,1952,2,3,2,18,4,1,1,1,0,1,2,2,18,4,1,1,0,0,1,18,4,1,3,1,3,1,0,2,27,107,17,17,17,75,75,75,0,0,0,0,cluster2
200-1856,630-1856,8,8,200,UKG,630,IRN,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,1,1,2,0,22,5,1,0,0,0,0,22,5,1,1,3,1,3,1,1,184,184,20,20,20,100,100,100,0,1,0,0,cluster1
200-1857,630-1857,8,8,200,UKG,630,IRN,1857,1,7,1856,5,4,1857,1,2,6,22,5,1,1,1,1,1,2,6,22,5,1,0,0,0,6,22,5,1,1,3,1,3,1,2,96,280,20,20,20,100,100,100,0,1,0,0,cluster1
630-1856,200-1856,8,8,630,IRN,200,UKG,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,0,0,0,0,22,5,1,1,1,2,0,22,5,1,3,1,3,1,1,1,184,184,20,20,20,100,100,100,0,1,0,0,cluster1
630-1857,200-1857,8,8,630,IRN,200,UKG,1857,1,7,1856,5,4,1857,2,2,6,22,5,1,1,1,0,0,0,6,22,5,1,1,1,2,6,22,5,1,3,1,3,1,1,2,96,280,20,20,20,100,100,100,0,1,0,0,cluster1
200-1889,235-1889,9,9,200,UKG,235,POR,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,3,3,7,7,0,49,49,0,0,0,0,0,cluster3
200-1890,235-1890,9,9,200,UKG,235,POR,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,11,14,7,7,0,49,49,0,0,0,0,0,cluster3
235-1889,200-1889,9,9,235,POR,200,UKG,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,1,3,3,7,0,7,49,0,49,0,0,0,0,cluster2
235-1890,200-1890,9,9,235,POR,200,UKG,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,2,11,14,7,0,7,49,0,49,0,0,0,0,cluster2
255-1938,305-1938,11,11,255,GMY,305,AUS,1938,11,3,1938,12,3,1938,4,1,0,16,4,0,1,1,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,14,14,0,84,84,0,0,0,0,0,cluster3
305-1938,255-1938,11,11,305,AUS,255,GMY,1938,11,3,1938,12,3,1938,3,1,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,1,2,2,14,0,14,84,0,84,0,0,0,0,cluster2
200-1938,255-1938,12,12,200,UKG,255,GMY,1938,26,8,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,8,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,36,36,16,7,16,65,49,65,0,0,0,0,cluster2
255-1938,200-1938,12,12,255,GMY,200,UKG,1938,26,8,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,8,3,0,1,4,1,3,0,1,36,36,16,16,7,65,65,49,0,0,0,0,cluster3
211-1938,255-1938,12,12,211,BEL,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,7,16,65,49,65,0,0,0,0,cluster2
255-1938,211-1938,12,12,255,GMY,211,BEL,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,24,24,16,16,7,65,65,49,0,0,0,0,cluster3
220-1938,255-1938,12,12,220,FRN,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,12,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,10,16,65,82,65,0,0,0,0,cluster2
255-1938,220-1938,12,12,255,GMY,220,FRN,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,12,3,0,1,4,1,3,0,1,24,24,16,16,10,65,65,82,0,0,0,0,cluster3
255-1938,315-1938,12,12,255,GMY,315,CZE,1938,11,3,1938,30,9,1938,4,1,0,19,4,1,1,5,1,1,1,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,204,204,16,16,16,65,65,65,0,0,0,0,cluster3
315-1938,255-1938,12,12,315,CZE,255,GMY,1938,11,3,1938,30,9,1938,3,1,0,19,4,1,1,5,0,0,0,0,19,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,204,204,16,16,16,65,65,65,0,0,0,0,cluster2
255-1938,365-1938,12,12,255,GMY,365,RUS,1938,16,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,15,15,16,16,7,65,65,49,0,0,0,0,cluster3
365-1938,255-1938,12,12,365,RUS,255,GMY,1938,16,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,15,15,16,7,16,65,49,65,0,0,0,0,cluster2
2-1863,740-1863,13,13,2,USA,740,JPN,1863,20,7,1863,20,7,1863,1,2,0,2,2,0,3,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,1,1,1,1,0,30,30,0,0,0,0,0,cluster3
740-1863,2-1863,13,13,740,JPN,2,USA,1863,20,7,1863,20,7,1863,2,2,0,2,2,0,3,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,3,2,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,cluster2
200-1863,740-1863,13,13,200,UKG,740,JPN,1863,6,4,1863,17,8,1863,1,2,0,17,4,0,3,1,1,1,2,9,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,134,134,15,15,0,81,81,0,0,0,0,0,cluster3
740-1863,200-1863,13,13,740,JPN,200,UKG,1863,6,4,1863,17,8,1863,2,2,0,17,4,0,3,1,0,0,0,0,0,1,1,1,1,2,9,17,4,1,3,1,3,1,0,1,134,134,15,0,15,81,0,81,0,0,0,0,cluster2
220-1863,740-1863,13,13,220,FRN,740,JPN,1863,20,7,1863,20,7,1863,1,2,0,2,2,0,3,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,1,1,1,1,0,30,30,0,0,0,0,0,cluster3
740-1863,220-1863,13,13,740,JPN,220,FRN,1863,20,7,1863,20,7,1863,2,2,0,2,2,0,3,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,3,2,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,cluster2
200-1895,640-1895,14,14,200,UKG,640,TUR,1895,15,10,1895,31,12,1895,4,3,0,8,3,0,1,1,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,78,78,7,7,0,49,49,0,0,0,0,0,cluster3
640-1895,200-1895,14,14,640,TUR,200,UKG,1895,15,10,1895,31,12,1895,3,3,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,78,78,7,0,7,49,0,49,0,0,0,0,cluster2
2-1839,200-1839,15,15,2,USA,200,UKG,1839,1,1,1839,23,3,1839,6,1,0,17,4,0,1,1,1,1,1,0,7,3,1,0,1,1,0,17,4,1,1,3,1,3,0,1,82,82,15,7,15,81,49,81,0,0,0,0,cluster3
200-1839,2-1839,15,15,200,UKG,2,USA,1839,1,1,1839,23,3,1839,6,1,0,17,4,0,1,1,0,1,1,0,17,4,1,1,1,1,0,7,3,1,3,1,3,1,0,1,82,82,15,15,7,81,81,49,0,0,0,0,cluster2
200-1897,365-1897,16,16,200,UKG,365,USR,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,0,0,0,8,3,1,0,1,2,0,8,3,1,1,3,1,3,0,1,7,7,7,7,7,49,49,49,0,0,0,0,cluster3
200-1898,365-1898,16,16,200,UKG,365,USR,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,0,0,0,8,3,1,0,1,2,0,8,3,1,1,3,1,3,0,2,37,44,7,7,7,49,49,49,0,0,0,0,cluster3
365-1897,200-1897,16,16,365,USR,200,UKG,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,1,2,0,8,3,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,7,7,49,49,49,0,0,0,0,cluster2
365-1898,200-1898,16,16,365,USR,200,UKG,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,1,2,0,8,3,1,1,0,0,0,8,3,1,3,1,3,1,0,2,37,44,7,7,7,49,49,49,0,0,0,0,cluster2
200-1897,730-1897,16,16,200,UKG,730,KOR,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,0,0,0,0,0,cluster3
200-1898,730-1898,16,16,200,UKG,730,KOR,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,37,44,7,7,0,49,49,0,0,0,0,0,cluster3
730-1897,200-1897,16,16,730,KOR,200,UKG,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,0,49,0,0,0,0,cluster2
730-1898,200-1898,16,16,730,KOR,200,UKG,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,2,37,44,7,0,7,49,0,49,0,0,0,0,cluster2
365-1897,740-1897,16,16,365,RUS,740,JPN,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,0,49,0,0,0,0,cluster2
365-1898,740-1898,16,16,365,RUS,740,JPN,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,2,37,44,7,0,7,49,0,49,0,0,0,0,cluster2
740-1897,365-1897,16,16,740,JPN,365,RUS,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,0,0,0,0,0,cluster3
740-1898,365-1898,16,16,740,JPN,365,RUS,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,37,44,7,7,0,49,49,0,0,0,0,0,cluster3
300-1848,325-1848,19,19,300,AUH,325,ITA,1848,4,4,1848,23,3,1849,0,0,0,22,5,1,1,3,1,0,0,0,22,5,1,0,1,1,0,22,5,1,1,3,3,1,1,1,272,272,20,20,20,100,100,100,0,1,0,0,cluster1
300-1849,325-1849,19,19,300,AUH,325,ITA,1849,4,4,1848,23,3,1849,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,1,1,6,22,5,1,1,3,3,1,1,2,83,355,20,20,20,100,100,100,0,1,0,0,cluster1
325-1848,300-1848,19,19,325,ITA,300,AUH,1848,4,4,1848,23,3,1849,0,0,0,22,5,1,1,3,0,1,1,0,22,5,1,1,0,0,0,22,5,1,3,1,1,3,1,1,272,272,20,20,20,100,100,100,0,1,0,0,cluster1
325-1849,300-1849,19,19,325,ITA,300,AUH,1849,4,4,1848,23,3,1849,2,1,6,22,5,1,1,3,0,1,1,6,22,5,1,1,0,0,6,22,5,1,3,1,1,3,1,2,83,355,20,20,20,100,100,100,0,1,0,0,cluster1
300-1848,332-1848,19,19,300,AUH,332,MOD,1848,1,3,1848,9,8,1848,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,0,0,2,22,5,0,1,4,3,1,1,1,146,146,20,20,20,100,100,100,0,1,0,0,cluster1
332-1848,300-1848,19,19,332,MOD,300,AUH,1848,1,3,1848,24,7,1848,2,1,6,22,5,1,1,3,0,0,0,2,22,5,0,1,0,0,6,22,5,1,4,1,1,3,1,1,146,146,20,20,20,100,100,100,0,1,0,0,cluster1
300-1848,337-1848,19,19,300,AUH,337,TUS,1848,21,3,1848,9,8,1848,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,0,0,2,22,5,0,1,4,3,1,1,1,126,126,20,20,20,100,100,100,0,1,0,0,cluster1
337-1848,300-1848,19,19,337,TUS,300,AUH,1848,21,3,1848,24,7,1848,2,1,6,22,5,1,1,3,0,0,0,2,22,5,0,1,0,0,6,22,5,1,4,1,1,3,1,1,126,126,20,20,20,100,100,100,0,1,0,0,cluster1
365-1945,630-1945,20,20,365,RUS,630,IRN,1945,18,11,1945,9,5,1946,0,0,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,44,44,7,7,0,49,49,0,0,0,0,0,cluster3
365-1946,630-1946,20,20,365,RUS,630,IRN,1946,18,11,1945,9,5,1946,3,1,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,130,174,7,7,0,49,49,0,0,0,0,0,cluster3
630-1945,365-1945,20,20,630,IRN,365,RUS,1945,18,11,1945,9,5,1946,0,0,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,1,44,44,7,0,7,49,0,49,0,0,0,0,cluster2
630-1946,365-1946,20,20,630,IRN,365,RUS,1946,18,11,1945,9,5,1946,4,1,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,2,130,174,7,0,7,49,0,49,0,0,0,0,cluster2
300-1912,345-1912,21,21,300,AUH,345,YUG,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,1,1,2,0,12,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,13,13,10,10,0,82,82,0,0,0,0,0,cluster3
345-1912,300-1912,21,21,345,YUG,300,AUH,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,0,1,1,0,0,1,1,1,1,2,0,12,3,1,3,1,3,1,0,1,13,13,10,0,10,82,0,82,0,0,0,0,cluster2
300-1912,365-1912,21,21,300,AUH,365,RUS,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,1,1,2,0,12,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,13,13,10,10,0,82,82,0,0,0,0,0,cluster3
365-1912,300-1912,21,21,365,RUS,300,AUH,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,0,1,2,0,0,1,1,1,1,2,0,12,3,1,3,1,3,1,0,1,13,13,10,0,10,82,0,82,0,0,0,0,cluster2
365-1940,367-1940,22,22,365,RUS,367,LAT,1940,9,6,1940,17,6,1940,1,2,0,19,4,1,1,1,1,1,1,9,19,4,1,0,0,0,9,19,4,1,1,3,1,3,0,1,9,9,16,16,16,65,65,65,0,0,0,0,cluster3
367-1940,365-1940,22,22,367,LAT,365,RUS,1940,9,6,1940,17,6,1940,2,2,0,19,4,1,1,1,0,0,0,9,19,4,1,1,1,1,9,19,4,1,3,1,3,1,0,1,9,9,16,16,16,65,65,65,0,0,0,0,cluster2
365-1939,366-1939,23,23,365,RUS,366,EST,1939,1,3,1939,18,10,1939,4,1,0,15,4,0,1,1,1,1,2,0,15,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,232,232,13,13,0,96,96,0,0,0,0,0,cluster3
366-1939,365-1939,23,23,366,EST,365,RUS,1939,1,3,1939,18,10,1939,3,1,0,15,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,15,4,1,3,1,3,1,0,1,232,232,13,0,13,96,0,96,0,0,0,0,cluster2
200-1831,210-1831,25,25,200,UKG,210,NTH,1831,15,8,1831,30,9,1831,5,3,0,8,3,0,2,3,0,0,0,0,8,3,0,1,1,1,0,0,1,1,4,1,1,3,0,1,47,47,7,7,0,49,49,0,0,0,0,0,cluster3
210-1831,200-1831,25,25,210,NTH,200,UKG,1831,15,8,1831,30,9,1831,5,3,0,8,3,0,2,3,1,1,1,0,0,1,1,0,0,0,0,8,3,0,1,4,3,1,0,1,47,47,7,0,7,49,0,49,0,0,0,0,cluster2
210-1831,211-1831,25,25,210,NTH,211,BEL,1831,2,8,1831,2,2,1832,0,0,0,18,4,1,2,3,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,152,152,17,17,17,75,75,75,0,0,0,0,cluster3
210-1832,211-1832,25,25,210,NTH,211,BEL,1832,2,8,1831,2,2,1832,5,3,0,18,4,1,2,3,1,1,1,9,18,4,1,0,0,0,9,18,4,1,1,3,1,3,0,2,34,186,17,17,17,75,75,75,0,0,0,0,cluster3
211-1831,210-1831,25,25,211,BEL,210,NTH,1831,2,8,1831,2,2,1832,0,0,0,18,4,1,2,3,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,152,152,17,17,17,75,75,75,0,0,0,0,cluster2
211-1832,210-1832,25,25,211,BEL,210,NTH,1832,2,8,1831,2,2,1832,5,3,0,18,4,1,2,3,0,0,0,9,18,4,1,1,1,1,9,18,4,1,3,1,3,1,0,2,34,186,17,17,17,75,75,75,0,0,0,0,cluster2
210-1831,220-1831,25,25,210,NTH,220,FRN,1831,15,8,1831,30,9,1831,5,3,0,19,4,1,2,3,1,1,1,9,19,4,1,0,0,0,9,18,4,0,1,4,3,1,0,1,47,47,16,16,17,65,65,75,0,0,0,0,cluster1
220-1831,210-1831,25,25,220,FRN,210,NTH,1831,15,8,1831,30,9,1831,5,3,0,19,4,1,2,3,0,0,0,9,18,4,0,1,1,1,9,19,4,1,4,1,1,3,0,1,47,47,16,17,16,65,75,65,0,0,0,0,cluster1
220-1831,255-1831,25,25,220,FRN,255,GMY,1831,15,8,1831,30,9,1831,5,3,0,2,2,0,2,3,0,0,0,0,0,1,0,1,1,1,0,2,2,0,4,2,3,1,0,1,47,47,1,0,1,30,0,30,0,0,0,0,cluster2
255-1831,220-1831,25,25,255,GMY,220,FRN,1831,15,8,1831,30,9,1831,5,3,0,2,2,0,2,3,1,1,1,0,2,2,0,0,0,0,0,0,1,0,2,4,1,3,0,1,47,47,1,1,0,30,30,0,0,0,0,0,cluster3
Feb-48,365-1948,26,26,2,USA,365,RUS,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,286,286,16,13,16,65,96,65,0,0,0,0,cluster2
Feb-49,365-1949,26,26,2,USA,365,RUS,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,2,207,493,16,13,16,65,96,65,0,0,0,0,cluster2
365-1948,Feb-48,26,26,365,RUS,2,USA,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,1,286,286,16,16,13,65,65,96,0,0,0,0,cluster3
365-1949,Feb-49,26,26,365,RUS,2,USA,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,2,207,493,16,16,13,65,65,96,0,0,0,0,cluster3
200-1948,365-1948,26,26,200,UKG,365,RUS,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,286,286,16,13,16,65,96,65,0,0,0,0,cluster2
200-1949,365-1949,26,26,200,UKG,365,RUS,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,2,207,493,16,13,16,65,96,65,0,0,0,0,cluster2
365-1948,200-1948,26,26,365,RUS,200,UKG,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,1,286,286,16,16,13,65,65,96,0,0,0,0,cluster3
365-1949,200-1949,26,26,365,RUS,200,UKG,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,2,207,493,16,16,13,65,65,96,0,0,0,0,cluster3
220-1948,365-1948,26,26,220,FRN,365,RUS,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,286,286,16,13,16,65,96,65,0,0,0,0,cluster2
220-1949,365-1949,26,26,220,FRN,365,RUS,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,2,207,493,16,13,16,65,96,65,0,0,0,0,cluster2
365-1948,220-1948,26,26,365,RUS,220,FRN,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,1,286,286,16,16,13,65,65,96,0,0,0,0,cluster3
365-1949,220-1949,26,26,365,RUS,220,FRN,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,2,207,493,16,16,13,65,65,96,0,0,0,0,cluster3
Feb-61,265-1961,27,27,2,USA,265,GDR,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,12,3,1,0,1,2,0,15,4,0,1,4,1,3,0,1,77,77,13,10,13,96,82,96,0,0,0,0,cluster3
265-1961,Feb-61,27,27,265,GDR,2,USA,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,0,1,0,0,0,12,3,1,4,1,3,1,0,1,77,77,13,13,10,96,96,82,0,0,0,0,cluster2
Feb-61,290-1961,27,27,2,USA,290,POL,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,1,0,0,0,12,3,1,0,0,0,0,7,3,0,1,4,1,3,0,1,11,11,10,10,7,82,82,49,0,0,0,0,cluster3
290-1961,Feb-61,27,27,290,POL,2,USA,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,0,0,0,0,7,3,0,1,0,0,0,12,3,1,4,1,3,1,0,1,11,11,10,7,10,82,49,82,0,0,0,0,cluster2
Feb-61,315-1961,27,27,2,USA,315,CZE,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,1,0,0,0,12,3,1,0,0,0,0,7,3,0,1,4,1,3,0,1,11,11,10,10,7,82,82,49,0,0,0,0,cluster3
315-1961,Feb-61,27,27,315,CZE,2,USA,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,0,0,0,0,7,3,0,1,0,0,0,12,3,1,4,1,3,1,0,1,11,11,10,7,10,82,49,82,0,0,0,0,cluster2
Feb-61,365-1961,27,27,2,USA,365,RUS,1961,25,7,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,12,3,1,0,1,2,0,15,4,1,1,3,1,3,0,1,96,96,13,10,13,96,82,96,0,0,0,0,cluster3
365-1961,Feb-61,27,27,365,RUS,2,USA,1961,25,7,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,1,1,0,0,0,12,3,1,3,1,3,1,0,1,96,96,13,13,10,96,96,82,0,0,0,0,cluster2
200-1961,265-1961,27,27,200,UKG,265,GDR,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,7,3,0,0,1,2,0,15,4,0,2,4,1,3,0,1,77,77,13,7,13,96,49,96,0,0,0,0,cluster3
265-1961,200-1961,27,27,265,GDR,200,UKG,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,0,1,0,0,0,7,3,0,4,2,3,1,0,1,77,77,13,13,7,96,96,49,0,0,0,0,cluster2
200-1961,290-1961,27,27,200,UKG,290,POL,1961,18,10,1961,28,10,1961,5,3,0,7,3,0,4,4,1,0,0,0,7,3,0,0,0,0,0,7,3,0,2,4,1,3,0,1,11,11,7,7,7,49,49,49,0,0,0,0,cluster3
