disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
2150,2150,482,CEN,500,UGA,1977,13,5,1977,25,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,1.0,18,4,0,4,2,3,1,0,1,13,13,17,17,17,75,75,75,0.0,0,0,0,0,7652.0,135864.0,7.0,23.0,0.0,15.0,730.0,2495.0,2167.0,12352.0,262.0,492.0,0.000196858,0.000829688,0.056321027,0.304347826,0.0,0.29258517,0.175437176,0.532520325,0.237267254,0.000632831
2150,2150,500,UGA,482,CEN,1977,13,5,1977,25,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,1.0,18,4,0,0,0,0,1.0,18,4,0,2,4,1,3,0,1,13,13,17,17,17,75,75,75,0.0,0,0,0,0,135864.0,7652.0,23.0,7.0,15.0,0.0,2495.0,730.0,12352.0,2167.0,492.0,262.0,0.000829688,0.000196858,17.75535808,3.285714286,?,3.417808219,5.700046147,1.877862595,4.214656613,0.000632831
2150,2150,482,CEN,540,ANG,1977,13,5,1977,25,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,3.0,18,4,1,4,1,3,1,0,1,13,13,17,17,17,75,75,75,0.0,0,0,0,0,7652.0,?,7.0,47.0,0.0,5.0,730.0,4529.0,2167.0,6450.0,262.0,772.0,0.000196858,0.000942262,?,0.14893617,0.0,0.161183484,0.335968992,0.339378238,0.208920488,0.000745404
2150,2150,540,ANG,482,CEN,1977,13,5,1977,25,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,3.0,18,4,1,0,0,0,1.0,18,4,0,1,4,1,3,0,1,13,13,17,17,17,75,75,75,0.0,0,0,0,0,?,7652.0,47.0,7.0,5.0,0.0,4529.0,730.0,6450.0,2167.0,772.0,262.0,0.000942262,0.000196858,-0.001176163,6.714285714,?,6.204109589,2.976465159,2.946564885,4.786509965,0.000745404
2150,2150,484,CON,490,DRC,1977,1,5,1977,26,5,1977,8,4,4.0,18,4,0,4,5,1,0,0,1.0,18,4,0,0,0,0,3.0,14,3,1,2,3,1,3,0,1,26,26,17,17,12,75,75,65,0.0,0,0,0,0,36634.0,36173.0,7.0,53.0,0.0,0.0,485.0,8043.0,1532.0,24017.0,374.0,5379.0,0.000199915,0.002482691,1.012744312,0.132075472,?,0.060300883,0.06378815,0.069529652,0.080523505,0.002282776
2150,2150,490,DRC,484,CON,1977,1,5,1977,26,5,1977,8,4,4.0,18,4,0,4,5,0,0,0,3.0,14,3,1,1,0,0,1.0,18,4,0,3,2,3,1,0,1,26,26,17,12,17,75,65,75,0.0,0,0,0,0,36173.0,36634.0,53.0,7.0,0.0,0.0,8043.0,485.0,24017.0,1532.0,5379.0,374.0,0.002482691,0.000199915,0.987416062,7.571428571,?,16.58350515,15.67689295,14.38235294,12.41873407,0.002282776
2150,2150,484,CON,600,MOR,1977,1,5,1977,22,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,1.0,18,4,0,0,0,0,1.0,18,4,0,2,4,1,3,0,1,22,22,17,17,17,75,75,75,0.0,0,0,0,0,36634.0,731447.0,7.0,85.0,0.0,3.0,485.0,7026.0,1532.0,17899.0,374.0,5861.0,0.000199915,0.002780131,0.050084285,0.082352941,0.0,0.06902932,0.085591374,0.063811636,0.071908469,0.002580216
2150,2150,600,MOR,484,CON,1977,1,5,1977,22,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,1.0,18,4,0,4,2,3,1,0,1,22,22,17,17,17,75,75,75,0.0,0,0,0,0,731447.0,36634.0,85.0,7.0,3.0,0.0,7026.0,485.0,17899.0,1532.0,5861.0,374.0,0.002780131,0.000199915,19.96634274,12.14285714,?,14.48659794,11.68342037,15.67112299,13.90656777,0.002580216
2150,2150,484,CON,651,EGY,1977,1,5,1977,25,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,1.0,18,4,0,0,0,0,1.0,18,4,0,2,4,3,1,0,1,25,25,17,17,17,75,75,75,0.0,0,0,0,0,36634.0,4715062.0,7.0,350.0,0.0,266.0,485.0,21538.0,1532.0,37406.0,374.0,11854.0,0.000199915,0.008202363,0.007769569,0.02,0.0,0.02251834,0.040955996,0.031550531,0.024372849,0.008002448
2150,2150,651,EGY,484,CON,1977,1,5,1977,25,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,1.0,18,4,0,4,2,1,3,0,1,25,25,17,17,17,75,75,75,0.0,0,0,0,0,4715062.0,36634.0,350.0,7.0,266.0,0.0,21538.0,485.0,37406.0,1532.0,11854.0,374.0,0.008202363,0.000199915,128.7072665,50.0,?,44.40824742,24.41644909,31.69518717,41.02926169,0.008002448
