keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
Feb-02,200-1902,2,2,2,USA,200,UKG,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,184,184,7,7,0,49,49,0,0,0,0,0,0,39722,93419,111,489,15187,4988,300106,188800,79163,41893,15258,13932,0.2076682,0.16125357,0.425202582,0.226993865,3.044707298,1.589544492,1.889647435,1.095176572,1.287836294,0.04641463
Feb-03,200-1903,2,2,2,USA,200,UKG,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,2,25,209,7,7,0,49,49,0,0,0,0,0,0,43814,66400,106,416,14768,5115,356268,189999,80632,42247,15812,14098,0.21049646,0.14297678,0.659849398,0.254807692,2.887194526,1.875104606,1.908585225,1.121577529,1.472242276,0.06751968
200-1902,Feb-02,2,2,200,UKG,2,USA,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,184,184,7,0,7,49,0,49,0,0,0,0,0,93419,39722,489,111,4988,15187,188800,300106,41893,79163,13932,15258,0.16125357,0.2076682,2.35182015,4.405405405,0.328438796,0.629111047,0.529199247,0.91309477,0.776496209,0.04641463
200-1903,Feb-03,2,2,200,UKG,2,USA,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,2,25,209,7,0,7,49,0,49,0,0,0,0,0,66400,43814,416,106,5115,14768,189999,356268,42247,80632,14098,15812,0.14297678,0.21049646,1.51549733,3.924528302,0.346356988,0.53330358,0.523948308,0.891601315,0.679236031,0.06751968
300-1913,345-1913,3,3,300,AUH,345,YUG,1913,2,5,1913,25,10,1913,4,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,177,177,8,8,0,20,20,0,0,0,0,0,0,37513,1194,358,32,2611,0,37670,198,52166,3003,4696,138,0.044727746,0.001776259,31.41792295,11.1875,,190.2525253,17.37129537,34.02898551,25.18087513,0.042951487
345-1913,300-1913,3,3,345,YUG,300,AUH,1913,2,5,1913,25,10,1913,3,3,0,10,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,10,3,1,3,1,3,1,0,1,177,177,8,0,8,20,0,20,0,0,0,0,0,1194,37513,32,358,0,2611,198,37670,3003,52166,138,4696,0.001776259,0.044727746,0.031828966,0.089385475,0,0.005256172,0.057566231,0.029386712,0.039712679,0.042951487
200-1946,339-1946,4,4,200,UKG,339,ALB,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,0,0,0,2,8,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,183,183,16,7,16,65,49,65,0,0,0,0,0,17753616,11946,2053,60,12899,0,214896,201,49217,1138,18754,0,0.11617274,0.000792921,1486.155701,34.21666667,,1069.134328,43.2486819,,146.5124207,0.115379819
339-1946,200-1946,4,4,339,ALB,200,UKG,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,8,3,1,1,3,1,3,0,1,183,183,16,16,7,65,65,49,0,0,0,0,0,11946,17753616,60,2053,0,12899,201,214896,1138,49217,0,18754,0.000792921,0.11617274,0.000672877,0.029225524,0,0.000935336,0.023122092,0,0.00682536,0.115379819
200-1951,651-1951,7,7,200,UKG,651,EGY,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,2,0,18,4,1,1,3,1,3,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0,3215782,94448,826,77,15889,0,211603,4065,50562,20943,19176,4314,0.058534522,0.00537012,34.04817466,10.72727273,,52.05485855,2.414267297,4.445062587,10.90004066,0.053164402
200-1952,651-1952,7,7,200,UKG,651,EGY,1952,13,10,1951,26,1,1952,1,3,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,2,2,18,4,1,1,3,1,3,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0,4340931,100172,872,81,16681,0,214654,4088,50723,21437,19098,4498,0.057508342,0.005100538,43.33477419,10.7654321,,52.50831703,2.366142651,4.245887061,11.27495698,0.052407804
651-1951,200-1951,7,7,651,EGY,200,UKG,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,0,1,2,0,18,4,1,1,0,0,0,18,4,1,3,1,3,1,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0,94448,3215782,77,826,0,15889,4065,211603,20943,50562,4314,19176,0.00537012,0.058534522,0.02937015,0.093220339,0,0.019210503,0.414204343,0.224968711,0.091742777,0.053164402
651-1952,200-1952,7,7,651,EGY,200,UKG,1952,13,10,1951,26,1,1952,2,3,2,18,4,1,1,1,0,1,2,2,18,4,1,1,0,0,1,18,4,1,3,1,3,1,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0,100172,4340931,81,872,0,16681,4088,214654,21437,50723,4498,19098,0.005100538,0.057508342,0.023076156,0.092889908,0,0.019044602,0.422628788,0.235522044,0.088692134,0.052407804
200-1856,630-1856,8,8,200,UKG,630,IRN,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,1,1,2,0,22,5,1,0,0,0,0,22,5,1,1,3,1,3,1,1,184,184,20,20,20,100,100,100,0,0,1,0,0,32369,,382,18,3644,0,73272,0,28011,6300,5162,134,0.29569957,0.005794871,,21.22222222,,,4.446190476,38.52238806,51.02781154,0.289904699
200-1857,630-1857,8,8,200,UKG,630,IRN,1857,1,7,1856,5,4,1857,1,2,6,22,5,1,1,1,1,1,2,6,22,5,1,0,0,0,6,22,5,1,1,3,1,3,1,2,96,280,20,20,20,100,100,100,0,0,1,0,0,18866,,272,18,3718,0,75317,0,28187,6349,5275,138,0.2900489,0.006052325,,15.11111111,,,4.439596787,38.22463768,47.92355004,0.283996575
630-1856,200-1856,8,8,630,IRN,200,UKG,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,0,0,0,0,22,5,1,1,1,2,0,22,5,1,3,1,3,1,1,1,184,184,20,20,20,100,100,100,0,0,1,0,0,,32369,18,382,0,3644,0,73272,6300,28011,134,5162,0.005794871,0.29569957,-0.000278044,0.047120419,0,0,0.224911642,0.025958931,0.019597156,0.289904699
630-1857,200-1857,8,8,630,IRN,200,UKG,1857,1,7,1856,5,4,1857,2,2,6,22,5,1,1,1,0,0,0,6,22,5,1,1,1,2,6,22,5,1,3,1,3,1,1,2,96,280,20,20,20,100,100,100,0,0,1,0,0,,18866,18,272,0,3718,0,75317,6349,28187,138,5275,0.006052325,0.2900489,-0.000477049,0.066176471,0,0,0.225245681,0.026161137,0.020866568,0.283996575
200-1889,235-1889,9,9,200,UKG,235,POR,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,3,3,7,7,0,49,49,0,0,0,0,0,0,28990,1538,275,30,8457,0,152628,575,37178,5000,11000,405,0.18929829,0.004735992,18.84915475,9.166666667,,265.44,7.4356,27.16049383,39.97014733,0.184562298
200-1890,235-1890,9,9,200,UKG,235,POR,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,11,14,7,7,0,49,49,0,0,0,0,0,0,29602,1614,278,31,8031,0,156388,617,37485,5050,11207,409,0.17947489,0.004731761,18.34076828,8.967741935,,253.465154,7.422772277,27.400978,37.92982753,0.174743129
235-1889,200-1889,9,9,235,POR,200,UKG,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,1,3,3,7,0,7,49,0,49,0,0,0,0,0,1538,28990,30,275,0,8457,575,152628,5000,37178,405,11000,0.004735992,0.18929829,0.053052777,0.109090909,0,0.00376733,0.134488138,0.036818182,0.025018672,0.184562298
235-1890,200-1890,9,9,235,POR,200,UKG,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,2,11,14,7,0,7,49,0,49,0,0,0,0,0,1614,29602,31,278,0,8031,617,156388,5050,37485,409,11207,0.004731761,0.17947489,0.054523343,0.111510791,0,0.003945315,0.134720555,0.036495048,0.026364475,0.174743129
255-1938,305-1938,11,11,255,GMY,305,AUS,1938,11,3,1938,12,3,1938,4,1,0,16,4,0,1,1,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,14,14,0,84,84,0,0,0,0,0,0,7415163,41523,782,58,22656,673,232155,2362,68424,6753,20796,2141,0.15422215,0.005123815,178.5796546,13.48275862,33.66419019,98.28746825,10.13238561,9.713218122,30.09908633,0.149098335
305-1938,255-1938,11,11,305,AUS,255,GMY,1938,11,3,1938,12,3,1938,3,1,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,1,2,2,14,0,14,84,0,84,0,0,0,0,0,41523,7415163,58,782,673,22656,2362,232155,6753,68424,2141,20796,0.005123815,0.15422215,0.005599742,0.074168798,0.029705155,0.010174237,0.098693441,0.102952491,0.0332236,0.149098335
200-1938,255-1938,12,12,200,UKG,255,GMY,1938,26,8,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,8,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,36,36,16,7,16,65,49,65,0,0,0,0,0,1863997,7415163,376,782,10565,22656,218151,232155,48404,68424,18350,20796,0.077787034,0.15422215,0.251376403,0.480818414,0.466322387,0.939678232,0.707412604,0.882381227,0.504383022,0.076435116
255-1938,200-1938,12,12,255,GMY,200,UKG,1938,26,8,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,8,3,0,1,4,1,3,0,1,36,36,16,16,7,65,65,49,0,0,0,0,0,7415163,1863997,782,376,22656,10565,232155,218151,68424,48404,20796,18350,0.15422215,0.077787034,3.978098141,2.079787234,2.144439186,1.064194067,1.413602182,1.133297003,1.982620265,0.076435116
211-1938,255-1938,12,12,211,BEL,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,7,16,65,49,65,0,0,0,0,0,63225,7415163,90,782,2279,22656,31565,232155,8387,68424,977,20796,0.010377872,0.15422215,0.008526448,0.115089514,0.100591455,0.135965196,0.122573951,0.046980188,0.067291709,0.143844278
255-1938,211-1938,12,12,255,GMY,211,BEL,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,24,24,16,16,7,65,65,49,0,0,0,0,0,7415163,63225,782,90,22656,2279,232155,31565,68424,8387,20796,977,0.15422215,0.010377872,117.2821352,8.688888889,9.941202282,7.35482338,8.158340289,21.28556807,14.86067182,0.143844278
220-1938,255-1938,12,12,220,FRN,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,12,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,10,16,65,82,65,0,0,0,0,0,919284,7415163,581,782,6137,22656,82599,232155,41960,68424,6351,20796,0.045568597,0.15422215,0.123973539,0.742966752,0.270877472,0.355792466,0.613235122,0.305395268,0.29547375,0.108653553
255-1938,220-1938,12,12,255,GMY,220,FRN,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,12,3,0,1,4,1,3,0,1,24,24,16,16,10,65,65,82,0,0,0,0,0,7415163,919284,782,581,22656,6137,232155,82599,68424,41960,20796,6351,0.15422215,0.045568597,8.06623742,1.34595525,3.691706045,2.810627247,1.630695901,3.274444969,3.384395398,0.108653553
255-1938,315-1938,12,12,255,GMY,315,CZE,1938,11,3,1938,30,9,1938,4,1,0,19,4,1,1,5,1,1,1,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,204,204,16,16,16,65,65,65,0,0,0,0,0,7415163,201459,782,163,22656,1800,232155,27589,68424,14600,20796,1623,0.15422215,0.013047683,36.8073057,4.797546012,12.58666667,8.414766755,4.686575342,12.81330869,11.81988787,0.141174467
315-1938,255-1938,12,12,315,CZE,255,GMY,1938,11,3,1938,30,9,1938,3,1,0,19,4,1,1,5,0,0,0,0,19,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,204,204,16,16,16,65,65,65,0,0,0,0,0,201459,7415163,163,782,1800,22656,27589,232155,14600,68424,1623,20796,0.013047683,0.15422215,0.027168519,0.208439898,0.079449153,0.118838707,0.213375424,0.078043855,0.084603171,0.141174467
255-1938,365-1938,12,12,255,GMY,365,RUS,1938,16,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,15,15,16,16,7,65,65,49,0,0,0,0,0,7415163,5429984,782,1566,22656,18057,232155,169211,68424,166859,20796,36532,0.15422215,0.16435921,1.365595737,0.49936143,1.254693471,1.371985273,0.410070778,0.569254352,0.938323748,0.01013706
365-1938,255-1938,12,12,365,RUS,255,GMY,1938,16,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,15,15,16,7,16,65,49,65,0,0,0,0,0,5429984,7415163,1566,782,18057,22656,169211,232155,166859,68424,36532,20796,0.16435921,0.15422215,0.732281138,2.002557545,0.797007415,0.728870798,2.438603414,1.756683978,1.065730247,0.01013706
2-1863,740-1863,13,13,2,USA,740,JPN,1863,20,7,1863,20,7,1863,1,2,0,2,2,0,3,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,1,1,1,1,0,30,30,0,0,0,0,0,0,119662,,960,0,860,0,21157,0,34026,33091,3018,1850,0.17896698,0.024258133,,,,,1.028255417,1.631351351,7.377607337,0.154708847
740-1863,2-1863,13,13,740,JPN,2,USA,1863,20,7,1863,20,7,1863,2,2,0,2,2,0,3,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,3,2,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,0,,119662,0,960,0,860,0,21157,33091,34026,1850,3018,0.024258133,0.17896698,-7.52E-05,0,0,0,0.972521013,0.612988734,0.1355453,0.154708847
200-1863,740-1863,13,13,200,UKG,740,JPN,1863,6,4,1863,17,8,1863,1,2,0,17,4,0,3,1,1,1,2,,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,134,134,15,15,0,81,81,0,0,0,0,0,0,22204,,312,0,4582,0,87608,0,29471,33091,6033,1850,0.25099146,0.024258133,,,,,0.890604696,3.261081081,10.34669321,0.226733327
740-1863,200-1863,13,13,740,JPN,200,UKG,1863,6,4,1863,17,8,1863,2,2,0,17,4,0,3,1,0,0,0,0,0,1,1,1,1,2,,17,4,1,3,1,3,1,0,1,134,134,15,0,15,81,0,81,0,0,0,0,0,,22204,0,312,0,4582,0,87608,33091,29471,1850,6033,0.024258133,0.25099146,-0.000405332,0,0,0,1.122832615,0.306646776,0.096649237,0.226733327
220-1863,740-1863,13,13,220,FRN,740,JPN,1863,20,7,1863,20,7,1863,1,2,0,2,2,0,3,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,1,1,1,1,0,30,30,0,0,0,0,0,0,27082,,493,0,1157,0,16505,0,37710,33091,2992,1850,0.10237439,0.024258133,,,,,1.139584781,1.617297297,4.22020895,0.078116257
740-1863,220-1863,13,13,740,JPN,220,FRN,1863,20,7,1863,20,7,1863,2,2,0,2,2,0,3,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,3,2,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,0,,27082,0,493,0,1157,0,16505,33091,37710,1850,2992,0.024258133,0.10237439,-0.000332324,0,0,0,0.877512596,0.618315508,0.236955092,0.078116257
200-1895,640-1895,14,14,200,UKG,640,TUR,1895,15,10,1895,31,12,1895,4,3,0,8,3,0,1,1,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,78,78,7,7,0,49,49,0,0,0,0,0,0,35743,6745,309,231,7827,10,161765,161,39221,27348,12306,809,0.17192414,0.019358737,5.299184581,1.337662338,782.7,1004.751553,1.434145093,15.21137206,8.880958505,0.152565403
640-1895,200-1895,14,14,640,TUR,200,UKG,1895,15,10,1895,31,12,1895,3,3,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,78,78,7,0,7,49,0,49,0,0,0,0,0,6745,35743,231,309,10,7827,161,161765,27348,39221,809,12306,0.019358737,0.17192414,0.188708279,0.747572816,0.001277629,0.000995271,0.697279519,0.065740289,0.112600459,0.152565403
2-1839,200-1839,15,15,2,USA,200,UKG,1839,1,1,1839,23,3,1839,6,1,0,17,4,0,1,1,1,1,1,0,7,3,1,0,1,1,0,17,4,1,1,3,1,3,0,1,82,82,15,7,15,81,49,81,0,0,0,0,0,2012,9737,19,159,330,1250,2159,39345,16684,26199,471,3531,0.050800554,0.30937037,0.206634487,0.119496855,0.264,0.054873554,0.636818199,0.133389975,0.164206268,0.258569816
200-1839,2-1839,15,15,200,UKG,2,USA,1839,1,1,1839,23,3,1839,6,1,0,17,4,0,1,1,0,1,1,0,17,4,1,1,1,1,0,7,3,1,3,1,3,1,0,1,82,82,15,15,7,81,81,49,0,0,0,0,0,9737,2012,159,19,1250,330,39345,2159,26199,16684,3531,471,0.30937037,0.050800554,4.839463221,8.368421053,3.787878788,18.22371468,1.570306881,7.496815287,6.0899015,0.258569816
200-1897,365-1897,16,16,200,UKG,365,USR,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,0,0,0,8,3,1,0,1,2,0,8,3,1,1,3,1,3,0,1,7,7,7,7,7,49,49,49,0,0,0,0,0,35187,39486,319,928,8937,1883,170127,23095,39987,126400,12775,6401,0.16582127,0.107471,0.891125969,0.34375,4.746149761,7.366399654,0.316352848,1.995781909,1.542939677,0.05835027
200-1898,365-1898,16,16,200,UKG,365,USR,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,0,0,0,8,3,1,0,1,2,0,8,3,1,1,3,1,3,0,2,37,44,7,7,7,49,49,49,0,0,0,0,0,38741,38697,331,928,8748,2244,170616,25991,40381,128400,13017,6488,0.15743132,0.10278738,1.001137039,0.356681034,3.898395722,6.564426148,0.314493769,2.006319359,1.5316211,0.05464394
365-1897,200-1897,16,16,365,USR,200,UKG,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,1,2,0,8,3,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,7,7,49,49,49,0,0,0,0,0,39486,35187,928,319,1883,8937,23095,170127,126400,39987,6401,12775,0.107471,0.16582127,1.122175804,2.909090909,0.210697102,0.135751527,3.161027334,0.501056751,0.648113478,0.05835027
365-1898,200-1898,16,16,365,USR,200,UKG,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,1,2,0,8,3,1,1,0,0,0,8,3,1,3,1,3,1,0,2,37,44,7,7,7,49,49,49,0,0,0,0,0,38697,38741,928,331,2244,8748,25991,170616,128400,40381,6488,13017,0.10278738,0.15743132,0.998864252,2.803625378,0.256515775,0.15233624,3.179713231,0.498425136,0.652902993,0.05464394
200-1897,730-1897,16,16,200,UKG,730,KOR,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,0,0,0,0,0,0,35187,99,319,4,8937,0,170127,0,39987,10998,12775,205,0.16582127,0.002477921,355.4242424,79.75,,,3.635842881,62.31707317,66.91952519,0.163343349
200-1898,730-1898,16,16,200,UKG,730,KOR,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,37,44,7,7,0,49,49,0,0,0,0,0,0,38741,,331,4,8748,0,170616,0,40381,11094,13017,205,0.15743132,0.002852176,,82.75,,,3.639895439,63.49756098,55.19692406,0.154579144
730-1897,200-1897,16,16,730,KOR,200,UKG,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,0,49,0,0,0,0,0,99,35187,4,319,0,8937,0,170127,10998,39987,205,12775,0.002477921,0.16582127,0.002813539,0.012539185,0,0,0.275039388,0.016046967,0.014943322,0.163343349
730-1898,200-1898,16,16,730,KOR,200,UKG,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,2,37,44,7,0,7,49,0,49,0,0,0,0,0,,38741,4,331,0,8748,0,170616,11094,40381,205,13017,0.002852176,0.15743132,-0.000232312,0.012084592,0,0,0.274733167,0.015748636,0.018116952,0.154579144
365-1897,740-1897,16,16,365,RUS,740,JPN,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,0,49,0,0,0,0,0,39486,11054,928,132,1883,25,23095,5582,126400,42400,6401,3095,0.107471,0.027722646,3.572100597,7.03030303,75.32,4.137405948,2.981132075,2.068174475,3.876650158,0.079748354
365-1898,740-1898,16,16,365,RUS,740,JPN,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,2,37,44,7,0,7,49,0,49,0,0,0,0,0,38697,11243,928,156,2244,21,25991,7105,128400,42886,6488,3498,0.10278738,0.028357763,3.441874944,5.948717949,106.8571429,3.658128079,2.993984051,1.854774157,3.624664611,0.074429617
740-1897,365-1897,16,16,740,JPN,365,RUS,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,0,0,0,0,0,0,11054,39486,132,928,25,1883,5582,23095,42400,126400,3095,6401,0.027722646,0.107471,0.279947323,0.142241379,0.013276686,0.241697337,0.335443038,0.4835182,0.257954667,0.079748354
740-1898,365-1898,16,16,740,JPN,365,RUS,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,37,44,7,7,0,49,49,0,0,0,0,0,0,11243,38697,156,928,21,2244,7105,25991,42886,128400,3498,6488,0.028357763,0.10278738,0.290539318,0.168103448,0.009358289,0.273363857,0.334003115,0.539149199,0.275887594,0.074429617
300-1848,325-1848,19,19,300,AUH,325,ITA,1848,4,4,1848,23,3,1849,0,0,0,22,5,1,1,3,1,0,0,0,22,5,1,0,1,1,0,22,5,1,1,3,3,1,1,1,272,272,20,20,20,100,100,100,0,0,1,0,0,7074,3985,409,70,158,20,896,56,36334,4916,785,237,0.076032154,0.018390941,1.775156838,5.842857143,7.9,16,7.390968267,3.312236287,4.134217711,0.057641213
300-1849,325-1849,19,19,300,AUH,325,ITA,1849,4,4,1848,23,3,1849,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,1,1,6,22,5,1,1,3,3,1,1,2,83,355,20,20,20,100,100,100,0,0,1,0,0,15472,3646,408,70,141,20,902,61,36424,4928,793,238,0.08976455,0.017559942,4.24355458,5.828571429,7.05,14.78688525,7.391233766,3.331932773,5.111893308,0.072204608
325-1848,300-1848,19,19,325,ITA,300,AUH,1848,4,4,1848,23,3,1849,0,0,0,22,5,1,1,3,0,1,1,0,22,5,1,1,0,0,0,22,5,1,3,1,1,3,1,1,272,272,20,20,20,100,100,100,0,0,1,0,0,3985,7074,70,409,20,158,56,896,4916,36334,237,785,0.018390941,0.076032154,0.563330506,0.171149144,0.126582278,0.0625,0.13530027,0.301910828,0.24188373,0.057641213
325-1849,300-1849,19,19,325,ITA,300,AUH,1849,4,4,1848,23,3,1849,2,1,6,22,5,1,1,3,0,1,1,6,22,5,1,1,0,0,6,22,5,1,3,1,1,3,1,2,83,355,20,20,20,100,100,100,0,0,1,0,0,3646,15472,70,408,20,141,61,902,4928,36424,238,793,0.017559942,0.08976455,0.235651499,0.171568627,0.141843972,0.067627494,0.13529541,0.300126103,0.195622236,0.072204608
300-1848,332-1848,19,19,300,AUH,332,MOD,1848,1,3,1848,9,8,1848,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,0,0,2,22,5,0,1,4,3,1,1,1,146,146,20,20,20,100,100,100,0,0,1,0,0,7074,,409,3,158,0,896,,36334,576,785,0,0.076032154,0.000726568,,136.3333333,,,63.07986111,,104.6455903,0.075305586
332-1848,300-1848,19,19,332,MOD,300,AUH,1848,1,3,1848,24,7,1848,2,1,6,22,5,1,1,3,0,0,0,2,22,5,0,1,0,0,6,22,5,1,4,1,1,3,1,1,146,146,20,20,20,100,100,100,0,0,1,0,0,,7074,3,409,0,158,,896,576,36334,0,785,0.000726568,0.076032154,-0.001272265,0.007334963,0,-0.010044643,0.01585292,0,0.009556064,0.075305586
300-1848,337-1848,19,19,300,AUH,337,TUS,1848,21,3,1848,9,8,1848,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,0,0,2,22,5,0,1,4,3,1,1,1,126,126,20,20,20,100,100,100,0,0,1,0,0,7074,219,409,6,158,0,896,,36334,1547,785,103,0.076032154,0.003435659,32.30136986,68.16666667,,,23.48674855,7.621359223,22.13029698,0.072596495
337-1848,300-1848,19,19,337,TUS,300,AUH,1848,21,3,1848,24,7,1848,2,1,6,22,5,1,1,3,0,0,0,2,22,5,0,1,0,0,6,22,5,1,4,1,1,3,1,1,126,126,20,20,20,100,100,100,0,0,1,0,0,219,7074,6,409,0,158,,896,1547,36334,103,785,0.003435659,0.076032154,0.030958439,0.014669927,0,-0.010044643,0.0425772,0.131210191,0.045186922,0.072596495
365-1945,630-1945,20,20,365,RUS,630,IRN,1945,18,11,1945,9,5,1946,0,0,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,44,44,7,7,0,49,49,0,0,0,0,0,0,8589076,30822,12500,90,12252,0,151257,2452,177300,15215,29189,1749,0.11820719,0.003319965,278.667056,138.8888889,,61.68719413,11.65297404,16.68896512,35.60495602,0.114887226
365-1946,630-1946,20,20,365,RUS,630,IRN,1946,18,11,1945,9,5,1946,3,1,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,130,174,7,7,0,49,49,0,0,0,0,0,0,8764724,33723,2500,101,13346,0,179782,1485,174000,15408,28110,1845,0.12254112,0.004524453,259.9034487,24.75247525,,121.0653199,11.29283489,15.23577236,27.08418694,0.118016667
