keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
135-1942,130-1942,1154,1154,135,PER,130,ECU,1942,1,6,1939,11,2,1942,1,2,5,18,4,0,1,1,1,0,0,3,17,4,1,0,1,1,4,18,4,1,1,3,1,3,0,4,43,988,17,15,17,75,81,75,0,0,0,0,0,10076,1667,32,,0,0,663,502,6920,2580,571,357,0.001457654,0.000732483,6.044391122,,,1.320717131,2.682170543,1.599439776,1.990017926,0.000725171
130-1951,135-1951,1155,1155,130,ECU,135,PER,1951,11,8,1951,15,8,1951,5,3,1,18,4,1,1,1,0,1,1,1,18,4,1,1,0,0,1,18,4,1,3,1,3,1,0,1,5,5,17,17,17,75,75,75,0,0,0,0,0,5809,33980,12,35,0,0,328,3144,3317,8118,469,853,0.000676484,0.001728445,0.170953502,0.342857143,,0.1043257,0.408598177,0.54982415,0.391382829,0.001051962
135-1951,130-1951,1155,1155,135,PER,130,ECU,1951,11,8,1951,15,8,1951,5,3,1,18,4,1,1,1,1,0,0,1,18,4,1,0,1,1,1,18,4,1,1,3,1,3,0,1,5,5,17,17,17,75,75,75,0,0,0,0,0,33980,5809,35,12,0,0,3144,328,8118,3317,853,469,0.001728445,0.000676484,5.849543811,2.916666667,,9.585365854,2.447392222,1.818763326,2.55504311,0.001051962
130-1954,135-1954,1156,1156,130,ECU,135,PER,1954,24,1,1954,31,10,1954,5,3,0,17,4,0,1,1,0,1,1,0,17,4,1,1,0,0,0,14,3,1,3,1,3,1,0,1,281,281,15,15,12,81,81,65,0,0,0,0,0,16502,27702,12,36,0,0,428,3453,3615,8597,522,1177,0.000658143,0.001715764,0.595697062,0.333333333,,0.123950188,0.420495522,0.443500425,0.383586085,0.001057621
135-1954,130-1954,1156,1156,135,PER,130,ECU,1954,24,1,1954,31,10,1954,5,3,0,17,4,0,1,1,1,0,0,0,14,3,1,0,1,1,0,17,4,1,1,3,1,3,0,1,281,281,15,12,15,81,65,81,0,0,0,0,0,27702,16502,36,12,0,0,3453,428,8597,3615,1177,522,0.001715764,0.000658143,1.678705611,3,,8.067757009,2.378146611,2.254789272,2.606976738,0.001057621
Feb-71,130-1971,1158,1158,2,USA,130,ECU,1971,11,1,1971,16,1,1971,7,1,0,17,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,17,4,1,3,1,3,1,0,1,6,6,15,0,15,81,84,81,0,0,0,0,0,74862000,29680,2720,20,109265,0,2311854,3324,207661,6148,55560,1312,0.16995624,0.000812168,2522.304582,136,,695.5036101,33.77700065,42.34756098,209.2623877,0.169144072
130-1971,Feb-71,1158,1158,130,ECU,2,USA,1971,11,1,1971,16,1,1971,7,1,0,17,4,0,1,1,1,1,2,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,6,6,15,15,0,81,81,0,0,0,0,0,0,29680,74862000,20,2720,0,109265,3324,2311854,6148,207661,1312,55560,0.000812168,0.16995624,0.000396463,0.007352941,0,0.001437807,0.029605944,0.023614111,0.00477869,0.169144072
100-1907,135-1907,1160,1160,100,COL,135,PER,1907,1,10,1907,31,10,1907,5,3,0,19,4,0,1,1,0,0,0,0,10,3,1,1,1,1,0,19,4,1,3,1,3,1,0,1,31,31,16,8,16,65,20,65,0,0,0,0,0,570,427,7,4,0,0,50,140,4410,3700,113,139,0.001312214,0.001126252,1.334894614,1.75,,0.357142857,1.191891892,0.81294964,1.16511543,0.000185962
135-1907,100-1907,1160,1160,135,PER,100,COL,1907,1,10,1907,31,10,1907,5,3,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,10,3,1,1,3,1,3,0,1,31,31,16,16,8,65,65,20,0,0,0,0,0,427,570,4,7,0,0,140,50,3700,4410,139,113,0.001126252,0.001312214,0.749122807,0.571428571,,2.8,0.839002268,1.230088496,0.858284058,0.000185962
100-1911,135-1911,1161,1161,100,COL,135,PER,1911,18,1,1911,19,7,1911,6,1,1,18,4,0,1,1,1,1,1,1,16,4,1,0,1,1,1,18,4,1,1,3,1,3,0,1,183,183,17,14,17,75,84,75,0,0,0,0,0,395,,6,4,0,0,152,184,4940,4100,119,142,0.001208206,0.001127501,,1.5,,0.826086957,1.204878049,0.838028169,1.071578574,8.07049E-05
135-1911,100-1911,1161,1161,135,PER,100,COL,1911,18,1,1911,19,7,1911,6,1,1,18,4,0,1,1,0,1,1,1,18,4,1,1,1,1,1,16,4,1,3,1,3,1,0,1,183,183,17,17,14,75,75,84,0,0,0,0,0,,395,4,6,0,0,184,152,4100,4940,142,119,0.001127501,0.001208206,-0.02278481,0.666666667,,1.210526316,0.829959514,1.193277311,0.933202682,8.07049E-05
135-1902,140-1902,1163,1163,135,PER,140,BRA,1902,21,10,1902,12,7,1904,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,1,0,18,4,1,1,3,1,3,0,1,72,72,17,17,17,75,75,75,0,0,0,0,0,376,2293,4,24,0,0,47,1044,3200,18782,132,2008,0.00107748,0.009296545,0.163977322,0.166666667,,0.045019157,0.170375892,0.065737052,0.115901157,0.008219065
135-1903,140-1903,1163,1163,135,PER,140,BRA,1903,21,10,1902,12,7,1904,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,1,0,18,4,1,1,3,1,3,0,2,365,437,17,17,17,75,75,75,0,0,0,0,0,364,3550,4,24,0,0,34,1016,3300,19180,134,2062,0.001080755,0.009939507,0.102535211,0.166666667,,0.033464567,0.172054223,0.064985451,0.108733254,0.008858752
135-1904,140-1904,1163,1163,135,PER,140,BRA,1904,21,10,1902,12,7,1904,6,1,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,1,1,18,4,1,1,3,1,3,0,3,195,632,17,17,17,75,75,75,0,0,0,0,0,434,,4,32,0,0,44,1088,3400,19587,135,2114,0.001095083,0.010135396,,0.125,,0.040441176,0.17358452,0.063859981,0.108045389,0.009040313
140-1902,135-1902,1163,1163,140,BRA,135,PER,1902,21,10,1902,12,7,1904,0,0,0,18,4,1,1,1,0,1,1,0,18,4,1,1,0,0,0,18,4,1,3,1,3,1,0,1,72,72,17,17,17,75,75,75,0,0,0,0,0,2293,376,24,4,0,0,1044,47,18782,3200,2008,132,0.009296545,0.00107748,6.098404255,6,,22.21276596,5.869375,15.21212121,8.628041552,0.008219065
140-1903,135-1903,1163,1163,140,BRA,135,PER,1903,21,10,1902,12,7,1904,0,0,0,18,4,1,1,1,0,1,1,0,18,4,1,1,0,0,0,18,4,1,3,1,3,1,0,2,365,437,17,17,17,75,75,75,0,0,0,0,0,3550,364,24,4,0,0,1016,34,19180,3300,2062,134,0.009939507,0.001080755,9.752747253,6,,29.88235294,5.812121212,15.3880597,9.196818446,0.008858752
140-1904,135-1904,1163,1163,140,BRA,135,PER,1904,21,10,1902,12,7,1904,6,1,2,18,4,1,1,1,0,1,1,1,18,4,1,1,0,0,1,18,4,1,3,1,3,1,0,3,195,632,17,17,17,75,75,75,0,0,0,0,0,,434,32,4,0,0,1088,44,19587,3400,2114,135,0.010135396,0.001095083,-0.020737327,8,,24.72727273,5.760882353,15.65925926,9.255369548,0.009040313
101-1966,110-1966,1166,1166,101,VEN,110,GUY,1966,14,10,1966,14,4,1967,0,0,0,16,4,0,1,1,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,79,79,14,14,0,84,84,81,0,0,0,0,0,176889,304,40,2,537,0,146112,30,9030,634,2429,0,0.006261442,4.73854E-05,581.8717105,20,,4870.4,14.24290221,,132.1385755,0.006214056
